"ID","Name","object"
"122","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.02849111333489418""},""kd"":{""N"":""0.0392359234392643""},""ki"":{""N"":""0.008620133623480797""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.22600887068303877""},""overshoot"":{""N"":""7.614737761586625""},""settlingTime"":{""N"":""14.100000000000001""}}}}"
"1193","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.02055888995528221""},""kd"":{""N"":""0.001430942676961422""},""ki"":{""N"":""0.0003577356692403555""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""1.0438880749225454""},""overshoot"":{""N"":""3.004781926131375""},""settlingTime"":{""N"":""16.288659793814432""}}}}"
"273","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.0068884496577084064""},""kd"":{""N"":""0.044636983424425125""},""ki"":{""N"":""0.008265173994004726""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""2.2848560388234893""},""overshoot"":{""N"":""28.935962099977846""},""settlingTime"":{""N"":""17.6""}}}}"
"513","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.057737257331609726""},""kd"":{""N"":""0.03778810054063797""},""ki"":{""N"":""0.009446900337934494""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.049870063147187525""},""overshoot"":{""N"":""19.59773257852043""},""settlingTime"":{""N"":""11.8""}}}}"
"333","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.05373715981841087""},""kd"":{""N"":""0.0366029255092144""},""ki"":{""N"":""0.005144316703081131""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.09974910136767456""},""overshoot"":{""N"":""19.102245911101154""},""settlingTime"":{""N"":""11.5""}}}}"
"145","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.03220680356025696""},""kd"":{""N"":""0.0400208979845047""},""ki"":{""N"":""0.010646293871104717""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.2495840329589852""},""overshoot"":{""N"":""8.36939015747147""},""settlingTime"":{""N"":""11.9""}}}}"
"1305","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.03905511274933815""},""kd"":{""N"":""0.0381956472992897""},""ki"":{""N"":""0.00877795647829771""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.7319877878919188""},""overshoot"":{""N"":""3.909496673198169""},""settlingTime"":{""N"":""14.536082474226806""}}}}"
"1041","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.034250400960445404""},""kd"":{""N"":""0.03778810054063797""},""ki"":{""N"":""0.011220746673643589""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.06643313445715165""},""overshoot"":{""N"":""7.291146747053445""},""settlingTime"":{""N"":""9.9""}}}}"
"1182","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.03799999877810478""},""kd"":{""N"":""0.04805399850010872""},""ki"":{""N"":""0.00800000037997961""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.3503344401152802""},""overshoot"":{""N"":""4.223435718681855""},""settlingTime"":{""N"":""6.288659793814433""}}}}"
"195","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.017485864460468292""},""kd"":{""N"":""0.03846919536590576""},""ki"":{""N"":""0.011404456570744514""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.3339481180784168""},""overshoot"":{""N"":""17.815995664659255""},""settlingTime"":{""N"":""9""}}}}"
"501","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.056763906031847""},""kd"":{""N"":""0.03778810054063797""},""ki"":{""N"":""0.009446900337934494""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.016592793928055013""},""overshoot"":{""N"":""19.459193383659493""},""settlingTime"":{""N"":""11""}}}}"
