"ID","Name","object"
"254","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.015204145573079586""},""kd"":{""N"":""0.04235557094216347""},""ki"":{""N"":""0.01021859236061573""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.681064119533802""},""overshoot"":{""N"":""20.049827802542048""},""settlingTime"":{""N"":""10.5""}}}}"
"163","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.02926594391465187""},""kd"":{""N"":""0.039017654955387115""},""ki"":{""N"":""0.008157100528478622""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""4.754783268878585""},""overshoot"":{""N"":""5.951787706027899""},""settlingTime"":{""N"":""16.6""}}}}"
"89","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.0026877073105424643""},""kd"":{""N"":""0.04034900292754173""},""ki"":{""N"":""0.00045556368422694504""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""29.659315164739375""},""overshoot"":{""N"":""37.38588907522665""},""settlingTime"":{""N"":""17.6""}}}}"
"32","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.019773218780755997""},""kd"":{""N"":""0.04032047465443611""},""ki"":{""N"":""0.0012275355402380228""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""3.535859465689558""},""overshoot"":{""N"":""13.147648244843916""},""settlingTime"":{""N"":""19.1""}}}}"
"131","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.04069311544299126""},""kd"":{""N"":""0.039419036358594894""},""ki"":{""N"":""0.010651332326233387""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.2837505857918932""},""overshoot"":{""N"":""9.528074770801979""},""settlingTime"":{""N"":""10.3""}}}}"
"300","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.0390966422855854""},""kd"":{""N"":""0.03805600851774216""},""ki"":{""N"":""0.011408442631363869""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.6979701322787647""},""overshoot"":{""N"":""1.8493073549238965""},""settlingTime"":{""N"":""12.100000000000001""}}}}"
"342","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.05961085110902786""},""kd"":{""N"":""0.03768475353717804""},""ki"":{""N"":""0.005203466396778822""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.33428300995947763""},""overshoot"":{""N"":""21.02624141903524""},""settlingTime"":{""N"":""11.9""}}}}"
"238","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.018925689160823822""},""kd"":{""N"":""0.03924346715211868""},""ki"":{""N"":""0.008407843299210072""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""3.479849976071444""},""overshoot"":{""N"":""13.503167265826935""},""settlingTime"":{""N"":""17.7""}}}}"
"341","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.052322883158922195""},""kd"":{""N"":""0.03687367960810661""},""ki"":{""N"":""0.00461201136931777""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.282955556388592""},""overshoot"":{""N"":""18.12583411582884""},""settlingTime"":{""N"":""11.3""}}}}"
"185","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.02197667583823204""},""kd"":{""N"":""0.041061460971832275""},""ki"":{""N"":""0.008190594613552094""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""6.532243884819922""},""overshoot"":{""N"":""11.114808208012809""},""settlingTime"":{""N"":""18.6""}}}}"
